State,BRANCH NAME,VillageName,Center,Customer_Name,OutStanding_Principal,Num_Days_SinceLAstDue,Bucket_Name
S2,BAS,213,61,C361,11315,0,Current (0 Days)
S2,BAS,214,91,C362,7621,0,Current (0 Days)
S2,BAS,213,61,C363,7083,0,Current (0 Days)
S2,BAS,213,61,C364,4840,0,Current (0 Days)
S2,BAS,214,91,C365,8294,0,Current (0 Days)
S2,BAS,213,61,C366,7560,0,Current (0 Days)
S2,BAS,196,18,C367,7922,0,Current (0 Days)
S2,LAT,351,44,C368,750,0,Current (0 Days)
S2,SHA,279,86,C369,10268,0,Current (0 Days)
S2,NAI,204,18,C370,362,0,Current (0 Days)
S2,NAI,204,18,C371,2591,0,Current (0 Days)
S2,AUR,736,89,C372,1217,0,Current (0 Days)
S2,AHM,353,14,C373,10263,0,Current (0 Days)
S2,AHM,353,14,C374,14341,0,Current (0 Days)
S2,AHM,353,14,C375,12716,0,Current (0 Days)
S2,AHM,353,14,C376,15898,0,Current (0 Days)
S2,AHM,353,14,C377,11937,0,Current (0 Days)
S2,AHM,353,11,C378,6727,0,Current (0 Days)
S2,PAI,244,90,C379,39,0,Current (0 Days)
S2,PAI,244,90,C380,564,0,Current (0 Days)
S2,PAI,244,90,C381,564,0,Current (0 Days)
S2,PAI,244,34,C382,1085,0,Current (0 Days)
S2,PAI,244,34,C383,1907,0,Current (0 Days)
S2,PAI,245,10,C384,3572,0,Current (0 Days)
S2,NAI,201,16,C385,4179,0,Current (0 Days)
S2,NAI,201,16,C386,4179,0,Current (0 Days)
S2,KIN,192,44,C387,877,0,Current (0 Days)
S2,AUR,242,60,C388,1854,0,Current (0 Days)
S2,SHA,276,11,C389,12477,0,Current (0 Days)
S2,SHA,276,11,C390,2561,0,Current (0 Days)
S2,AHM,353,14,C391,15898,0,Current (0 Days)
S2,KIN,192,81,C392,2910,0,Current (0 Days)
S2,AHM,203,16,C393,5347,0,Current (0 Days)
S2,AHM,203,82,C394,11342,0,Current (0 Days)
S2,AHM,203,16,C395,6564,0,Current (0 Days)
S2,AHM,203,82,C396,19603,0,Current (0 Days)
S2,AHM,203,82,C397,13841,0,Current (0 Days)
S2,AUR,736,93,C398,11178,0,Current (0 Days)
S2,HAD,194,31,C399,93,0,Current (0 Days)
S2,AMB,349,19,C400,78,0,Current (0 Days)
S2,NAN,196,43,C401,8305,0,Current (0 Days)
S2,AUR,238,84,C402,497,0,Current (0 Days)
S2,AUR,238,84,C403,184,0,Current (0 Days)
S2,PAI,328,93,C404,3759,0,Current (0 Days)
S2,SHA,279,11,C405,4210,0,Current (0 Days)
S2,AKA,212,16,C406,4758,0,Current (0 Days)
S2,SHA,277,17,C407,10209,0,Current (0 Days)
S2,NAI,201,13,C408,2731,0,Current (0 Days)
S2,SHA,279,37,C409,17642,0,Current (0 Days)
S2,SHA,277,17,C410,9591,0,Current (0 Days)
S2,PAI,341,44,C411,1263,0,Current (0 Days)
S2,AHM,203,16,C412,5830,0,Current (0 Days)
S2,AHM,203,16,C413,3844,0,Current (0 Days)
S2,AHM,353,25,C414,5308,0,Current (0 Days)
S2,HAD,194,31,C415,3107,0,Current (0 Days)
S2,AHM,353,33,C416,9483,0,Current (0 Days)
S2,HAD,194,12,C417,5498,0,Current (0 Days)
S2,NIL,358,65,C418,51,0,Current (0 Days)
S2,PAC,266,16,C419,4203,0,Current (0 Days)
S2,KIN,192,17,C420,1271,0,Current (0 Days)
S2,NAN,197,21,C421,1058,0,Current (0 Days)
